"nmqm","Zentral","WL","Gebtyp.25","Haustyp.23","HZ.unvoll","Fussboden.HZ","bad.score.25","Kueche.offen","kue.score.23","Boden.Fak.23","Modern.Boden","Balkon.Terrasse","Besond.Ausst","Modern.Fenster","wfl.gekappt","bj","(weights)"
21.62,1,"beste","anderer","anderer",FALSE,0,3,0,3,"guter",1,0,0,0,121,2003.5,0.026308992754426
32,1,"beste","Hochhaus","anderer",FALSE,0,0,0,0,"guter",0,0,1,0,20,1993.5,0.0654802014333978
18.97,1,"gute","anderer","anderer",FALSE,0,3,1,0,"guter",0,0,1,0,103,2022.5,0.0465843477849345
15,1,"gute","anderer","guter",FALSE,0,2,0,0,"guter",0,0,0,0,100,1918,0.074345945018739
21.43,1,"gute","anderer","ENb",FALSE,0,1,0,0,"guter",1,0,0,0,28,1972,0.0429505018067946
20.11,1,"gute","anderer","einfacher",FALSE,0,3,0,0,"guter",0,1,0,0,73,1918,0.0579689543015617
30.94,1,"gute","anderer","anderer",FALSE,0,2,1,0,"guter",0,0,1,0,80,2020,0.051011800135564
16.29,1,"gute","anderer","anderer",FALSE,1,0,0,3,"guter",0,0,1,0,70,1983,0.0660496609101249
18.21,1,"gute","anderer","einfacher",FALSE,0,2,0,0,"einfacher",0,0,0,1,28,1918,0.0530793274479077
32.35,1,"beste","anderer","anderer",FALSE,0,2,1,3,"guter",0,0,1,0,68,2022.5,0.0406162959585327
16.3,1,"beste","anderer","anderer",FALSE,0,2,1,0,"guter",0,1,0,0,92,1993.5,0.0765227371833197
11.45,1,"beste","anderer","einfacher",FALSE,0,1,0,0,"ohne",0,0,0,0,55,1918,0.0982807420928758
22.3,1,"gute","anderer","anderer",FALSE,0,0,0,0,"guter",0,1,0,0,76,1972,0.0901123201733933
16.78,1,"gute","anderer","anderer",FALSE,0,0,0,0,"guter",0,0,0,0,67,2003.5,0.043116401634895
20.39,1,"beste","anderer","einfacher",FALSE,0,0,0,0,"guter",0,0,0,0,28,1918,0.0596511316260809
14.11,1,"beste","anderer","anderer",FALSE,0,0,0,0,"anderer",0,0,0,0,66,1957.5,0.0696180527378939
20.11,1,"beste","anderer","ENb",FALSE,0,1,1,0,"guter",0,1,0,0,47,1972,0.0651997381498276
17.93,1,"beste","anderer","einfacher",FALSE,0,2,0,0,"guter",0,1,0,0,50,1918,0.0537869181228292
